text,cantica,canto,line
Midway upon the journey of our life,Inferno,1,1
"I found myself within a forest dark,",Inferno,1,2
For the straightforward pathway had been lost.,Inferno,1,3
Ah me! how hard a thing it is to say,Inferno,1,4
"What was this forest savage, rough, and stern,",Inferno,1,5
Which in the very thought renews the fear.,Inferno,1,6
"So bitter is it, death is little more;",Inferno,1,7
"But of the good to treat, which there I found,",Inferno,1,8
Speak will I of the other things I saw there.,Inferno,1,9
"I cannot well repeat how there I entered,",Inferno,1,10
So full was I of slumber at the moment,Inferno,1,11
In which I had abandoned the true way.,Inferno,1,12
"But after I had reached a mountain’s foot,",Inferno,1,13
"At that point where the valley terminated,",Inferno,1,14
"Which had with consternation pierced my heart,",Inferno,1,15
"Upward I looked, and I beheld its shoulders,",Inferno,1,16
Vested already with that planet’s rays,Inferno,1,17
Which leadeth others right by every road.,Inferno,1,18
Then was the fear a little quieted,Inferno,1,19
That in my heart’s lake had endured throughout,Inferno,1,20
"The night, which I had passed so piteously.",Inferno,1,21
"And even as he, who, with distressful breath,",Inferno,1,22
"Forth issued from the sea upon the shore,",Inferno,1,23
Turns to the water perilous and gazes;,Inferno,1,24
"So did my soul, that still was fleeing onward,",Inferno,1,25
Turn itself back to re-behold the pass,Inferno,1,26
Which never yet a living person left.,Inferno,1,27
"After my weary body I had rested,",Inferno,1,28
"The way resumed I on the desert slope,",Inferno,1,29
So that the firm foot ever was the lower.,Inferno,1,30
"And lo! almost where the ascent began,",Inferno,1,31
"A panther light and swift exceedingly,",Inferno,1,32
Which with a spotted skin was covered o’er!,Inferno,1,33
"And never moved she from before my face,",Inferno,1,34
"Nay, rather did impede so much my way,",Inferno,1,35
That many times I to return had turned.,Inferno,1,36
"The time was the beginning of the morning,",Inferno,1,37
And up the sun was mounting with those stars,Inferno,1,38
"That with him were, what time the Love Divine",Inferno,1,39
At first in motion set those beauteous things;,Inferno,1,40
"So were to me occasion of good hope,",Inferno,1,41
"The variegated skin of that wild beast,",Inferno,1,42
"The hour of time, and the delicious season;",Inferno,1,43
"But not so much, that did not give me fear",Inferno,1,44
A lion’s aspect which appeared to me.,Inferno,1,45
He seemed as if against me he were coming,Inferno,1,46
"With head uplifted, and with ravenous hunger,",Inferno,1,47
So that it seemed the air was afraid of him;,Inferno,1,48
"And a she-wolf, that with all hungerings",Inferno,1,49
"Seemed to be laden in her meagreness,",Inferno,1,50
And many folk has caused to live forlorn!,Inferno,1,51
"She brought upon me so much heaviness,",Inferno,1,52
"With the affright that from her aspect came,",Inferno,1,53
That I the hope relinquished of the height.,Inferno,1,54
"And as he is who willingly acquires,",Inferno,1,55
"And the time comes that causes him to lose,",Inferno,1,56
"Who weeps in all his thoughts and is despondent,",Inferno,1,57
"E’en such made me that beast withouten peace,",Inferno,1,58
