text,cantica,canto,line
Nel mezzo del cammin di nostra vita,Inferno,1,1
"mi ritrovai per una selva oscura,",Inferno,1,2
ché la diritta via era smarrita.,Inferno,1,3
Ahi quanto a dir qual era è cosa dura,Inferno,1,4
esta selva selvaggia e aspra e forte,Inferno,1,5
che nel pensier rinova la paura!,Inferno,1,6
Tant’ è amara che poco è più morte;,Inferno,1,7
"ma per trattar del ben ch’i’ vi trovai,",Inferno,1,8
dirò de l’altre cose ch’i’ v’ho scorte.,Inferno,1,9
"Io non so ben ridir com’ i’ v’intrai,",Inferno,1,10
tant’ era pien di sonno a quel punto,Inferno,1,11
che la verace via abbandonai.,Inferno,1,12
"Ma poi ch’i’ fui al piè d’un colle giunto,",Inferno,1,13
là dove terminava quella valle,Inferno,1,14
"che m’avea di paura il cor compunto,",Inferno,1,15
guardai in alto e vidi le sue spalle,Inferno,1,16
vestite già de’ raggi del pianeta,Inferno,1,17
che mena dritto altrui per ogne calle.,Inferno,1,18
"Allor fu la paura un poco queta,",Inferno,1,19
che nel lago del cor m’era durata,Inferno,1,20
la notte ch’i’ passai con tanta pieta.,Inferno,1,21
"E come quei che con lena affannata,",Inferno,1,22
"uscito fuor del pelago a la riva,",Inferno,1,23
"si volge a l’acqua perigliosa e guata,",Inferno,1,24
"così l’animo mio, ch’ancor fuggiva,",Inferno,1,25
si volse a retro a rimirar lo passo,Inferno,1,26
che non lasciò già mai persona viva.,Inferno,1,27
"Poi ch’èi posato un poco il corpo lasso,",Inferno,1,28
"ripresi via per la piaggia diserta,",Inferno,1,29
sì che ’l piè fermo sempre era ’l più basso.,Inferno,1,30
"Ed ecco, quasi al cominciar de l’erta,",Inferno,1,31
"una lonza leggera e presta molto,",Inferno,1,32
che di pel macolato era coverta;,Inferno,1,33
"e non mi si partia dinanzi al volto,",Inferno,1,34
"anzi ’mpediva tanto il mio cammino,",Inferno,1,35
ch’i’ fui per ritornar più volte vòlto.,Inferno,1,36
"Temp’ era dal principio del mattino,",Inferno,1,37
e ’l sol montava ’n sù con quelle stelle,Inferno,1,38
ch’eran con lui quando l’amor divino,Inferno,1,39
mosse di prima quelle cose belle;,Inferno,1,40
sì ch’a bene sperar m’era cagione,Inferno,1,41
di quella fiera a la gaetta pelle,Inferno,1,42
l’ora del tempo e la dolce stagione;,Inferno,1,43
ma non sì che paura non mi desse,Inferno,1,44
la vista che m’apparve d’un leone.,Inferno,1,45
Questi parea che contra me venisse,Inferno,1,46
"con la test’ alta e con rabbiosa fame,",Inferno,1,47
sì che parea che l’aere ne tremesse.,Inferno,1,48
"Ed una lupa, che di tutte brame",Inferno,1,49
"sembiava carca ne la sua magrezza,",Inferno,1,50
"e molte genti fé già viver grame,",Inferno,1,51
questa mi porse tanto di gravezza,Inferno,1,52
"con la paura ch’uscia di sua vista,",Inferno,1,53
ch’io perdei la speranza de l’altezza.,Inferno,1,54
"E qual è quei che volontieri acquista,",Inferno,1,55
"e giugne ’l tempo che perder lo face,",Inferno,1,56
che ’n tutti suoi pensier piange e s’attrista;,Inferno,1,57
"tal mi fece la bestia sanza pace,",Inferno,1,58
"che, venendomi ’ncontro, a poco a poco",Inferno,1,59
mi ripigneva là dove ’l sol tace.,Inferno,1,60
"Mentre ch’i’ rovinava in basso loco,",Inferno,1,61
dinanzi a li occhi mi si fu offerto,Inferno,1,62
chi per lungo silenzio parea fioco.,Inferno,1,63
"Quando vidi costui nel gran diserto,",Inferno,1,64
"«Miserere di me», gridai a lui,",Inferno,1,65
"«qual che tu sii, od ombra od omo certo!».",Inferno,1,66
"Rispuosemi: «Non omo, omo già fui,",Inferno,1,67
"e li parenti miei furon lombardi,",Inferno,1,68
mantoani per patrïa ambedui.,Inferno,1,69
"Nacqui sub Iulio, ancor che fosse tardi,",Inferno,1,70
e vissi a Roma sotto ’l buono Augusto,Inferno,1,71
nel tempo de li dèi falsi e bugiardi.,Inferno,1,72
"Poeta fui, e cantai di quel giusto",Inferno,1,73
"figliuol d’Anchise che venne di Troia,",Inferno,1,74
poi che ’l superbo Ilïón fu combusto.,Inferno,1,75
Ma tu perché ritorni a tanta noia?,Inferno,1,76
perché non sali il dilettoso monte,Inferno,1,77
ch’è principio e cagion di tutta gioia?».,Inferno,1,78
«Or se’ tu quel Virgilio e quella fonte,Inferno,1,79
"che spandi di parlar sì largo fiume?»,",Inferno,1,80
rispuos’ io lui con vergognosa fronte.,Inferno,1,81
"«O de li altri poeti onore e lume,",Inferno,1,82
vagliami ’l lungo studio e ’l grande amore,Inferno,1,83
che m’ha fatto cercar lo tuo volume.,Inferno,1,84
"Tu se’ lo mio maestro e ’l mio autore,",Inferno,1,85
tu se’ solo colui da cu’ io tolsi,Inferno,1,86
lo bello stilo che m’ha fatto onore.,Inferno,1,87
Vedi la bestia per cu’ io mi volsi;,Inferno,1,88
"aiutami da lei, famoso saggio,",Inferno,1,89
ch’ella mi fa tremar le vene e i polsi».,Inferno,1,90
"«A te convien tenere altro vïaggio»,",Inferno,1,91
"rispuose, poi che lagrimar mi vide,",Inferno,1,92
«se vuo’ campar d’esto loco selvaggio;,Inferno,1,93
"ché questa bestia, per la qual tu gride,",Inferno,1,94
"non lascia altrui passar per la sua via,",Inferno,1,95
ma tanto lo ’mpedisce che l’uccide;,Inferno,1,96
"e ha natura sì malvagia e ria,",Inferno,1,97
"che mai non empie la bramosa voglia,",Inferno,1,98
e dopo ’l pasto ha più fame che pria.,Inferno,1,99
"Molti son li animali a cui s’ammoglia,",Inferno,1,100
"e più saranno ancora, infin che ’l veltro",Inferno,1,101
"verrà, che la farà morir con doglia.",Inferno,1,102
"Questi non ciberà terra né peltro,",Inferno,1,103
"ma sapïenza, amore e virtute,",Inferno,1,104
e sua nazion sarà tra feltro e feltro.,Inferno,1,105
Di quella umile Italia fia salute,Inferno,1,106
"per cui morì la vergine Cammilla,",Inferno,1,107
Eurialo e Turno e Niso di ferute.,Inferno,1,108
"Questi la caccerà per ogne villa,",Inferno,1,109
"fin che l’avrà rimessa ne lo ’nferno,",Inferno,1,110
là onde ’nvidia prima dipartilla.,Inferno,1,111
Ond’ io per lo tuo me’ penso e discerno,Inferno,1,112
"che tu mi segui, e io sarò tua guida,",Inferno,1,113
e trarrotti di qui per loco etterno;,Inferno,1,114
"ove udirai le disperate strida,",Inferno,1,115
"vedrai li antichi spiriti dolenti,",Inferno,1,116
ch’a la seconda morte ciascun grida;,Inferno,1,117
e vederai color che son contenti,Inferno,1,118
"nel foco, perché speran di venire",Inferno,1,119
quando che sia a le beate genti.,Inferno,1,120
"A le quai poi se tu vorrai salire,",Inferno,1,121
anima fia a ciò più di me degna:,Inferno,1,122
con lei ti lascerò nel mio partire;,Inferno,1,123
"ché quello imperador che là sù regna,",Inferno,1,124
"perch’ i’ fu’ ribellante a la sua legge,",Inferno,1,125
non vuol che ’n sua città per me si vegna.,Inferno,1,126
In tutte parti impera e quivi regge;,Inferno,1,127
quivi è la sua città e l’alto seggio:,Inferno,1,128
oh felice colui cu’ ivi elegge!».,Inferno,1,129
"E io a lui: «Poeta, io ti richeggio",Inferno,1,130
"per quello Dio che tu non conoscesti,",Inferno,1,131
"acciò ch’io fugga questo male e peggio,",Inferno,1,132
"che tu mi meni là dov’ or dicesti,",Inferno,1,133
sì ch’io veggia la porta di san Pietro,Inferno,1,134
e color cui tu fai cotanto mesti».,Inferno,1,135
"Allor si mosse, e io li tenni dietro.",Inferno,1,136
"Lo giorno se n’andava, e l’aere bruno",Inferno,2,1
toglieva li animai che sono in terra,Inferno,2,2
da le fatiche loro; e io sol uno,Inferno,2,3
m’apparecchiava a sostener la guerra,Inferno,2,4
"sì del cammino e sì de la pietate,",Inferno,2,5
che ritrarrà la mente che non erra.,Inferno,2,6
"O muse, o alto ingegno, or m’aiutate;",Inferno,2,7
"o mente che scrivesti ciò ch’io vidi,",Inferno,2,8
qui si parrà la tua nobilitate.,Inferno,2,9
"Io cominciai: «Poeta che mi guidi,",Inferno,2,10
"guarda la mia virtù s’ell’ è possente,",Inferno,2,11
prima ch’a l’alto passo tu mi fidi.,Inferno,2,12
"Tu dici che di Silvïo il parente,",Inferno,2,13
"corruttibile ancora, ad immortale",Inferno,2,14
"secolo andò, e fu sensibilmente.",Inferno,2,15
"Però, se l’avversario d’ogne male",Inferno,2,16
"cortese i fu, pensando l’alto effetto",Inferno,2,17
"ch’uscir dovea di lui, e ’l chi e ’l quale",Inferno,2,18
non pare indegno ad omo d’intelletto;,Inferno,2,19
ch’e’ fu de l’alma Roma e di suo impero,Inferno,2,20
ne l’empireo ciel per padre eletto:,Inferno,2,21
"la quale e ’l quale, a voler dir lo vero,",Inferno,2,22
fu stabilita per lo loco santo,Inferno,2,23
u’ siede il successor del maggior Piero.,Inferno,2,24
"Per quest’ andata onde li dai tu vanto,",Inferno,2,25
intese cose che furon cagione,Inferno,2,26
di sua vittoria e del papale ammanto.,Inferno,2,27
"Andovvi poi lo Vas d’elezïone,",Inferno,2,28
per recarne conforto a quella fede,Inferno,2,29
ch’è principio a la via di salvazione.,Inferno,2,30
"Ma io, perché venirvi? o chi ’l concede?",Inferno,2,31
"Io non Enëa, io non Paulo sono;",Inferno,2,32
me degno a ciò né io né altri ’l crede.,Inferno,2,33
"Per che, se del venire io m’abbandono,",Inferno,2,34
temo che la venuta non sia folle.,Inferno,2,35
Se’ savio; intendi me’ ch’i’ non ragiono».,Inferno,2,36
E qual è quei che disvuol ciò che volle,Inferno,2,37
"e per novi pensier cangia proposta,",Inferno,2,38
"sì che dal cominciar tutto si tolle,",Inferno,2,39
"tal mi fec’ ïo ’n quella oscura costa,",Inferno,2,40
"perché, pensando, consumai la ’mpresa",Inferno,2,41
che fu nel cominciar cotanto tosta.,Inferno,2,42
"«S’i’ ho ben la parola tua intesa»,",Inferno,2,43
"rispuose del magnanimo quell’ ombra,",Inferno,2,44
«l’anima tua è da viltade offesa;,Inferno,2,45
la qual molte fïate l’omo ingombra,Inferno,2,46
"sì che d’onrata impresa lo rivolve,",Inferno,2,47
come falso veder bestia quand’ ombra.,Inferno,2,48
"Da questa tema acciò che tu ti solve,",Inferno,2,49
dirotti perch’ io venni e quel ch’io ’ntesi,Inferno,2,50
nel primo punto che di te mi dolve.,Inferno,2,51
"Io era tra color che son sospesi,",Inferno,2,52
"e donna mi chiamò beata e bella,",Inferno,2,53
tal che di comandare io la richiesi.,Inferno,2,54
Lucevan li occhi suoi più che la stella;,Inferno,2,55
"e cominciommi a dir soave e piana,",Inferno,2,56
"con angelica voce, in sua favella:",Inferno,2,57
"“O anima cortese mantoana,",Inferno,2,58
"di cui la fama ancor nel mondo dura,",Inferno,2,59
"e durerà quanto ’l mondo lontana,",Inferno,2,60
"l’amico mio, e non de la ventura,",Inferno,2,61
ne la diserta piaggia è impedito,Inferno,2,62
"sì nel cammin, che vòlt’ è per paura;",Inferno,2,63
"e temo che non sia già sì smarrito,",Inferno,2,64
"ch’io mi sia tardi al soccorso levata,",Inferno,2,65
per quel ch’i’ ho di lui nel cielo udito.,Inferno,2,66
"Or movi, e con la tua parola ornata",Inferno,2,67
"e con ciò c’ha mestieri al suo campare,",Inferno,2,68
l’aiuta sì ch’i’ ne sia consolata.,Inferno,2,69
I’ son Beatrice che ti faccio andare;,Inferno,2,70
vegno del loco ove tornar disio;,Inferno,2,71
"amor mi mosse, che mi fa parlare.",Inferno,2,72
"Quando sarò dinanzi al segnor mio,",Inferno,2,73
di te mi loderò sovente a lui”.,Inferno,2,74
"Tacette allora, e poi comincia’ io:",Inferno,2,75
“O donna di virtù sola per cui,Inferno,2,76
l’umana spezie eccede ogne contento,Inferno,2,77
"di quel ciel c’ha minor li cerchi sui,",Inferno,2,78
"tanto m’aggrada il tuo comandamento,",Inferno,2,79
"che l’ubidir, se già fosse, m’è tardi;",Inferno,2,80
più non t’è uo’ ch’aprirmi il tuo talento.,Inferno,2,81
Ma dimmi la cagion che non ti guardi,Inferno,2,82
de lo scender qua giuso in questo centro,Inferno,2,83
de l’ampio loco ove tornar tu ardi”.,Inferno,2,84
"“Da che tu vuo’ saver cotanto a dentro,",Inferno,2,85
